Date,Time,Auction Name,Contract,Auction Price eur/tCO2,Minimum Bid eur/tCO2,Maximum Bid eur/tCO2,Mean eur/tCO2,Median eur/tCO2,Auction Volume tCO2,Total Amount of Bids,Number of bids submitted,Number of successful bids,Average number of bids per bidder,Average bid size,Average volume bid per bidder,Standard deviation of bid volume per bidder,Average volume won per bidder,Standard deviation of volume won per bidder,Cover Ratio,Total Number of Bidders,Number of Successful Bidders,Total Revenue eur,Country,"Austria
(AT)","Belgium
(BE)","Bulgaria
(BG)","Cyprus
(CY)","Czech Republic
(CZ)","Germany
(DE)","Denmark
(DK)","Estonia
(EE)","Greece
(EL)","Spain
(ES)","Finland
(FI)","France
(FR)","Croatia
(HR)","Hungary
(HU)","Ireland
(IE)","Italy
(IT)","Lithuania
(LT)","Luxembourg
(LU)","Latvia
(LV)","Malta
(MT)","Netherlands
(NL)","Poland
(PL)","Portugal
(PT)","Romania
(RO)","Sweden
(SE)","Slovenia
(SI)","Slovakia
(SK)"
10/13/16,11:00,EU,T3PA,5.59,3.45,5.90,5.35,5.58,"3,664,000","7,943,500",63,26,3.50,"126,087","441,306","773,090","244,267","367,125",2.17,18,15,20481760,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/16,11:00,EU,T3PA,5.58,3.45,5.90,5.35,5.52,"3,664,000","9,654,500",89,23,4.94,"108,478","536,361","683,572","366,400","386,035",2.63,18,10,20445120,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/16,11:00,EU,T3PA,5.53,3.45,5.80,5.29,5.46,"3,664,000","10,570,500",83,16,4.61,"127,355","587,250","642,351","407,111","348,635",2.88,18,9,20261920,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/16,11:00,DE,T3PA,5.62,3.45,5.99,5.36,5.55,"3,495,000","10,662,500",71,16,3.94,"150,176","592,361","827,423","349,500","648,622",3.05,18,10,19641900,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/16,11:00,EU,T3PA,5.68,3.45,5.90,5.39,5.62,"3,664,000","9,570,500",65,16,3.25,"147,238","478,525","808,910","366,400","427,545",2.61,20,10,20811520,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/16,11:00,EU,T3PA,5.17,3.45,5.50,5.01,5.14,"3,664,000","9,616,000",73,17,4.06,"131,726","534,222","801,655","366,400","559,500",2.62,18,10,18942880,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/16,11:00,DE,T3PA,5.00,4.88,5.50,5.04,5.01,"3,495,000","5,148,000",39,25,2.79,"132,000","367,714","353,337","291,250","247,042",1.47,14,12,17475000,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/29/16,11:00,EU,T3PA,5.06,4.80,5.50,5.05,5.04,"3,664,000","7,307,000",48,16,3.69,"152,229","562,077","625,632","366,400","399,748",1.99,13,10,18539840,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/28/16,11:00,EU,EAA3,4.57,4.32,4.80,4.50,4.50,"683,500","1,993,000",31,8,2.82,"64,290","181,182","139,137","136,700","73,380",2.92,11,5,3123595,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/27/16,11:00,EU,T3PA,4.51,3.45,4.75,4.45,4.50,"3,664,000","7,663,000",78,38,4.11,"98,244","403,316","460,901","229,000","255,368",2.09,19,16,16524640,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/26/16,11:00,EU,T3PA,4.50,3.45,4.75,4.45,4.48,"3,664,000","8,694,000",98,43,5.16,"88,714","457,579","474,482","229,000","279,358",2.37,19,16,16488000,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/23/16,11:00,DE,T3PA,4.38,3.45,5.00,4.35,4.34,"3,495,000","7,284,000",73,19,3.65,"99,781","364,200","327,791","349,500","237,105",2.08,20,10,15308100,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/16,11:00,EU,T3PA,4.33,3.45,4.51,4.27,4.28,"3,664,000","7,875,000",59,17,2.95,"133,475","393,750","405,940","407,111","308,786",2.15,20,9,15865120,EU25,,,,,,,,,,,,,,,,,,,,,,,,,,,
